utc_time,perth_time,lot,zone,utilization
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PC3,BEN-PC3-LZ-Green,3.39
2026-07-08T11:15:22Z,2026-07-08 19:15:22,STAFF ONLY - PC3,BEN-PC3-LZ-White,0
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PC4,BEN-PC4-LZ-Equipark,0
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PD1,BEN-PD1-LZ-Yellow,3.95
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PD4,BEN-PD4-LZ-Blue,8.33
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PE1,BEN-PE1-LZ-Yellow,12.89
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PE2,BEN-PE2-LZ-Blue,19.57
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PF1,BEN-PF1-LZ-Yellow,7.55
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PH1,BEN-PH1-LZ-Yellow,6.22
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PH2,BEN-PH2-LZ-Green,36
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PH3,BEN-PH3-LZ-Equipark,0
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PH4,BEN-PH4-LZ-Green,5.16
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PI1,BEN-PI1-LZ-Yellow,8.94
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PI2,BEN-PI2-LZ-Yellow,6.41
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PI3,BEN-PI3-LZ-Yellow,0.35
2026-07-08T11:15:22Z,2026-07-08 19:15:22,STAFF ONLY - PJ1,BEN-PJ1-LZ-White,0
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PJ1,BEN-PJ1-LZ-Yellow,25.36
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PJ2,BEN-PJ2-LZ-Green,22.01
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PL1,BEN-PL1-LZ-Green,13.42
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PL2,BEN-PL2-LZ-Green,6.45
2026-07-08T11:15:22Z,2026-07-08 19:15:22,STAFF ONLY - PL2,BEN-PL2-LZ-White,0
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PM2,BEN-PM2-LZ-Blue,0
2026-07-08T11:15:22Z,2026-07-08 19:15:22,PM3,BEN-PM3-LZ-Green,8.86
2026-07-08T12:55:32Z,2026-07-08 20:55:32,TCP1, ,0
2026-07-08T12:55:32Z,2026-07-08 20:55:32,TCP2, ,0
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PA1,BEN-PA1-LZ-Green,27.41
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PA2,BEN-PA2-LZ-Green,1.83
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PA3,BEN-PA3-LZ-Green,0.62
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PA4,BEN-PA4-LT-0001,0
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PA5,BEN-PA5-LZ-Green,9.38
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PB1,BEN-PB1-LZ-Green,21.2
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PB3,BEN-PB3-LZ-90Minute,25.88
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PC2,BEN-PC2-LZ-Green,1.43
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PC3,BEN-PC3-LZ-Green,3.39
2026-07-08T12:55:32Z,2026-07-08 20:55:32,STAFF ONLY - PC3,BEN-PC3-LZ-White,0
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PC4,BEN-PC4-LZ-Equipark,0
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PD1,BEN-PD1-LZ-Yellow,0.99
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PD4,BEN-PD4-LZ-Blue,5.56
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PE1,BEN-PE1-LZ-Yellow,11.15
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PE2,BEN-PE2-LZ-Blue,18.12
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PF1,BEN-PF1-LZ-Yellow,2.52
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PH1,BEN-PH1-LZ-Yellow,3.35
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PH2,BEN-PH2-LZ-Green,36
2026-07-08T12:55:32Z,2026-07-08 20:55:32,PH3,BEN-PH3-LZ-Equipark,0
